[21:48:59] Angle:  78.1° | Speed: 0.861 | 172 km/h
[21:48:59] Angle: 146.8° | Speed: 0.755 | 151 km/h
[21:48:59] Angle: 146.8° | Speed: 0.671 | 134 km/h
[21:48:59] Angle: 146.8° | Speed: 0.603 | 120 km/h
[21:48:59] Angle: 146.8° | Speed: 0.549 | 109 km/h
[21:49:00] Angle: 146.8° | Speed: 0.506 | 101 km/h
[21:49:00] Angle: 146.8° | Speed: 0.471 |  94 km/h
[21:49:00] Angle: 146.8° | Speed: 0.443 |  88 km/h
[21:49:00] Angle: 146.8° | Speed: 0.421 |  84 km/h
[21:49:00] Angle: 146.8° | Speed: 0.403 |  80 km/h
[21:49:00] Angle: 146.8° | Speed: 0.389 |  77 km/h
[21:49:00] Angle: 146.8° | Speed: 0.378 |  75 km/h
[21:49:00] Angle: 146.8° | Speed: 0.369 |  73 km/h
[21:49:01] Angle: 146.8° | Speed: 0.361 |  72 km/h
[21:49:01] Angle: 146.8° | Speed: 0.356 |  71 km/h
[21:49:01] Angle: 146.8° | Speed: 0.351 |  70 km/h
[21:49:01] Angle: 146.8° | Speed: 0.347 |  69 km/h
[21:49:01] Angle: 146.8° | Speed: 0.344 |  68 km/h
[21:49:01] Angle: 146.8° | Speed: 0.342 |  68 km/h
[21:49:01] Angle: 146.8° | Speed: 0.340 |  67 km/h
[21:49:01] Angle: 146.8° | Speed: 0.338 |  67 km/h
[21:49:02] Angle:   0.0° | Speed: 0.471 |  94 km/h
[21:49:02] Angle:   0.0° | Speed: 0.577 | 115 km/h
[21:49:02] Angle:   0.0° | Speed: 0.661 | 132 km/h
[21:49:02] Angle:   0.0° | Speed: 0.729 | 145 km/h
[21:49:02] Angle:   0.0° | Speed: 0.783 | 156 km/h
[21:49:02] Angle:   0.0° | Speed: 0.827 | 165 km/h
[21:49:02] Angle:   0.0° | Speed: 0.861 | 172 km/h
[21:49:02] Angle:   0.0° | Speed: 0.889 | 177 km/h
[21:49:02] Angle:   0.0° | Speed: 0.911 | 182 km/h
[21:49:03] Angle:   0.0° | Speed: 0.929 | 185 km/h
[21:49:03] Angle:   0.0° | Speed: 0.943 | 188 km/h
[21:49:03] Angle:   0.0° | Speed: 0.955 | 190 km/h
[21:49:03] Angle:   0.0° | Speed: 0.964 | 192 km/h
[21:49:03] Angle: 209.1° | Speed: 0.771 | 154 km/h
[21:49:03] Angle: 207.0° | Speed: 0.617 | 123 km/h
[21:49:03] Angle: 205.3° | Speed: 0.493 |  98 km/h
[21:49:03] Angle: 203.3° | Speed: 0.395 |  78 km/h
[21:49:04] Angle: 201.8° | Speed: 0.316 |  63 km/h
